Product,BU,Region,Country,Year,Month,Actuals,Budget,Forecast
acitretin,inflammation,eu,other,2019,1,1144697,1214773,1266287
acitretin,inflammation,eu,france,2019,1,1102640,1153218,1182017
acitretin,inflammation,eu,germany,2019,1,56771,70299,76244
acitretin,inflammation,eu,spain,2019,1,338312,338312,246882
acitretin,inflammation,eu,portugal,2019,1,65890,68047,83146
acitretin,inflammation,eu,italy,2019,1,396273,396273,209029
acitretin,inflammation,eu,malta,2019,1,229377,392320,611583
acitretin,inflammation,eu,uk,2019,1,360570,360570,229603
acitretin,inflammation,eu,ireland,2019,1,29753,80652,1051371
acitretin,inflammation,eu,austria,2019,1,37107,7824670,21311702
acitretin,inflammation,eu,belgium,2019,1,5812912,8991559,9108224
acitretin,inflammation,eu,luxembourg,2019,1,180728,180728,0
acitretin,inflammation,eu,greece,2019,1,560366,569206,677746
acitretin,inflammation,eu,netherlands,2019,1,181848,181848,139178
acitretin,inflammation,eu,denmark,2019,1,76505,862925,1533056
acitretin,inflammation,eu,estonia,2019,1,335401,352268,411113
acitretin,inflammation,eu,finland,2019,1,2685259,4342334,6300970
acitretin,inflammation,eu,lithuania,2019,1,65948,65948,0
acitretin,inflammation,eu,latvia,2019,1,93965,93965,0
acitretin,inflammation,eu,norway,2019,1,430122,430122,281171
acitretin,inflammation,eu,sweden,2019,1,209613,209613,129362
acitretin,inflammation,eu,switzerland,2019,1,209417,209417,132395
acitretin,inflammation,eu,macedonia,2019,1,96334,96334,20332
acitretin,inflammation,eu,serbia,2019,1,549948,2302971,2946933
acitretin,inflammation,eu,bosnia,2019,1,372966,395287,442055
acitretin,inflammation,eu,montenegro,2019,1,81955,81955,0
acitretin,inflammation,eu,czech republic,2019,1,114001,129872,131186
acitretin,inflammation,eu,hungary,2019,1,1215727,1365016,1444389
acitretin,inflammation,eu,slovenia,2019,1,604183,604183,525346
acitretin,inflammation,eu,slovakia,2019,1,328629,391558,447648
acitretin,inflammation,eu,bulgaria,2019,1,61754,61754,-105781
acitretin,inflammation,eu,romania,2019,1,361788,412273,466016
acitretin,inflammation,eu,croatia,2019,1,126050,141899,276345
acitretin,inflammation,eu,ukraine,2019,1,199240,208323,257950
acitretin,inflammation,eu,kazakhstan,2019,1,85030,86758,276234
acitretin,inflammation,eu,georgia,2019,1,1910674,1928685,3054405
acitretin,inflammation,eu,belarus,2019,1,964705,964705,785614
acitretin,inflammation,eu,armenia,2019,1,1076268,1791679,2102903
acitretin,inflammation,eu,israel,2019,1,1055236,1152293,2591720
acitretin,inflammation,eu,palestine,2019,1,89946,89946,0
acitretin,inflammation,eu,poland,2019,2,1136204,1136965,1137408
acitretin,inflammation,eu,russia,2019,2,818461,966890,1306696
acitretin,inflammation,eu,other,2019,2,124328,124328,0
acitretin,inflammation,eu,france,2019,2,12083,215577,241943
acitretin,inflammation,eu,germany,2019,2,45314,97349,154510
acitretin,inflammation,eu,spain,2019,2,58481,73033,169650
acitretin,inflammation,eu,portugal,2019,2,169015,261237,380092
acitretin,inflammation,eu,italy,2019,2,114696,120541,165611
acitretin,inflammation,eu,malta,2019,2,15778,620925,923746
acitretin,inflammation,eu,uk,2019,2,9141589,11253613,18500555
acitretin,inflammation,eu,ireland,2019,2,1193178,6659667,7254284
acitretin,inflammation,eu,austria,2019,2,56319,56319,0
acitretin,inflammation,eu,belgium,2019,2,109713,268676,702152
acitretin,inflammation,eu,luxembourg,2019,2,427699,478034,488432
acitretin,inflammation,eu,greece,2019,2,242827,601912,789859
acitretin,inflammation,eu,netherlands,2019,2,11154,86306,486363
acitretin,inflammation,eu,denmark,2019,2,854263,3774916,5389391
acitretin,inflammation,eu,estonia,2019,2,4576,4576,0
acitretin,inflammation,eu,finland,2019,2,19778,46004,134379
acitretin,inflammation,eu,lithuania,2019,2,202593,202593,158687
acitretin,inflammation,eu,latvia,2019,2,3774,44644,120880
acitretin,inflammation,eu,norway,2019,2,128041,128041,112626
acitretin,inflammation,eu,sweden,2019,2,60500,60500,0
acitretin,inflammation,eu,switzerland,2019,2,742554,1542601,2543238
acitretin,inflammation,eu,macedonia,2019,2,13110,19386,311518
acitretin,inflammation,eu,serbia,2019,2,192731,192731,0
acitretin,inflammation,eu,bosnia,2019,2,44881,45536,58153
acitretin,inflammation,eu,netherlands,2019,2,1226296,1240782,1266212
acitretin,inflammation,eu,denmark,2019,2,361033,394858,399975
acitretin,inflammation,eu,estonia,2019,2,54052,285748,1166191
